Timestamp,Shift,Heat_Number,Strand,Steel_Grade,Casting_Speed_m_min,Target_Speed_m_min,Mold_Level_mm,Mold_Level_Deviation_mm,Steel_Temperature_C,Tundish_Temperature_C,Water_Flow_L_min,Hydraulic_Pressure_bar,Oscillation_Frequency_cpm,Slab_Width_mm,Slab_Thickness_mm,Slab_Length_m,Production_Ton,Downtime_min,Downtime_Reason,Alarm_Name,Alarm_Severity,Machine_Status,PLC_Status,Breakout_Risk_pct,Availability_pct,Yield_pct,OEE_pct
2026-07-01 00:00:00,Night,HT2026070100001,1,API X60,4.24,4.3,74.28,1.23,1554.9,1540.6,1215,150.7,236,900,220,10.29,19.32,0,None,None,None,Running,Healthy,14,95.73,97.09,87.63
2026-07-01 00:01:00,Night,HT2026070100002,2,IS2062,5.14,4.3,72.39,-0.31,1548.8,1536.7,1463,165.5,190,1300,200,8.54,29.59,9,Hydraulic,Water Flow Low,High,Maintenance,Warning,68,98.47,98.62,87.18
2026-07-01 00:02:00,Night,HT2026070100003,2,SAE1008,3.89,4.3,73.92,1.46,1554.7,1538.5,1235,161.6,214,1500,250,9.17,23.9,0,None,None,None,Running,Fault,24,94.75,96.5,83.94
2026-07-01 00:03:00,Night,HT2026070100004,2,E350,5.01,4.3,72.13,-0.57,1562,1544,985,159.9,220,1100,220,11.99,22.59,12,Hydraulic,Water Flow Low,Low,Maintenance,Warning,66,94.07,98.97,94.06
2026-07-01 00:04:00,Night,HT2026070100005,1,SAE1008,4.77,4.3,72.03,1.65,1557.9,1535.3,1202,162.3,199,1100,200,10.33,20.12,0,None,None,None,Running,Healthy,81,94.1,99.25,89.55
2026-07-01 00:05:00,Night,HT2026070100006,2,API X60,5,4.3,74.18,1.99,1547.2,1537.1,1331,157.5,227,1100,250,9.27,32.28,0,None,None,None,Running,Fault,12,91.38,95.63,88.19
2026-07-01 00:06:00,Night,HT2026070100007,2,API X60,3.93,4.3,74.03,-0.71,1550.5,1549.2,917,150.8,197,1100,200,8.72,20.9,0,None,None,None,Running,Warning,35,96.17,96.16,87.71
2026-07-01 00:07:00,Night,HT2026070100008,2,SAE1008,4.22,4.3,68.7,-0.97,1547.6,1536.7,1211,161.3,219,1600,230,11.84,22.1,0,None,None,None,Running,Fault,49,92.58,95.56,89.86
2026-07-01 00:08:00,Night,HT2026070100009,1,E350,4.88,4.3,72.05,-0.23,1545.4,1549.4,1326,160,218,1500,250,8.87,34.63,20,Hydraulic,Speed Drop,High,Maintenance,Warning,17,91.1,95.49,85.61
2026-07-01 00:09:00,Night,HT2026070100010,1,IS2062,4.54,4.3,72.52,-1.93,1548,1539.6,1369,157.6,206,1300,220,8.82,27.05,0,None,None,None,Running,Warning,64,99.84,95.38,91.33
