Timestamp,Shift,Heat Number,Casting Speed,Mold Level,Downtime,Production,Temperature,Water Flow,Hydraulic Pressure,Alarm,Alarm Severity,Downtime Category,Machine Status,PLC_Status,Mold_Status,Oscillation_Status,Hydraulic_Status,Water_Cooling_Status,Shear_Status,Roller_Table_Status
2026-01-01 06:00:00,Morning,10457,1.1591415123926327,79.47098354668333,0.0,14.177020339986726,1517.4206139809282,1900.202102648787,120.27014007244608,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 06:10:00,Morning,10970,1.125463714653353,79.93037772202085,0.0,14.754430043337187,1521.4443471944564,1907.0061025694185,120.53498894518489,No Alarm,None,None,Running,Healthy,Warning,Healthy,Healthy,Warning,Healthy,Healthy
2026-01-01 06:20:00,Morning,10155,1.185819451295388,80.41693488282995,0.0,15.019564357142785,1512.3248589526293,1905.2028728687974,122.22886833605943,No Alarm,None,None,Running,Warning,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 06:30:00,Morning,10584,1.198124477414946,80.33014725623734,0.0,14.48826592306941,1519.8409320784865,1915.7387439338781,122.5012010528621,No Alarm,None,None,Running,Healthy,Healthy,Warning,Healthy,Healthy,Healthy,Healthy
2026-01-01 06:40:00,Morning,10680,1.1179166735551196,80.230566597032,0.0,13.367800500756395,1516.764693442276,1906.8452141316052,118.75352301291998,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 06:50:00,Morning,10797,1.1438409294994176,80.33738686065189,0.0,13.144764209409512,1518.9944822160364,1902.4606262281413,123.53084387693937,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 07:00:00,Morning,10010,1.1930985757105566,80.43420348214123,0.0,15.117245420888732,1513.2447188005294,1931.3925366372516,122.18367954896532,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 07:10:00,Morning,10635,1.1860119826997637,80.47440979236688,9.0,14.576938500671094,1521.4133870163068,1913.1594053299004,122.15923163368771,Roller Jam,Low,Electrical,Stopped,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 07:20:00,Morning,10148,1.201090728898274,81.84020785551503,13.0,13.353097241583963,1520.081638616799,1915.78872536751,124.07796845294887,Roller Jam,High,Electrical,Stopped,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 07:30:00,Morning,10428,1.181939746805297,81.14146256850923,0.0,14.399246424127632,1518.3824491859243,1922.059272367224,125.1931267886009,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
